ds,id_pais,pred_neutro,pred_kpi2,pred_kpi3,pred_kpi4
2023-12-31,BLZ,75.02472952704447,75.34583332292442,75.29724582432287,91.0498077951443
2024-12-31,BLZ,75.22253932933906,75.52959263429607,75.48100513569452,91.24513606288248
2025-12-31,BLZ,75.41062375694486,75.70149460230587,75.65290710370432,91.43101692612038
2000-01-01,BOL,62.35031923939785,62.35031923939785,62.35031923939785,62.35031923939785
2001-01-01,BOL,62.838534246394346,62.838534246394346,62.838534246394346,62.838534246394346
2002-01-01,BOL,63.300411751455975,63.300411751455975,63.300411751455975,63.300411751455975
2003-01-01,BOL,63.643052493793505,63.643052493793505,63.643052493793505,63.643052493793505
2004-01-01,BOL,63.99625497152666,63.99625497152666,63.99625497152666,63.99625497152666
2005-01-01,BOL,64.39989177353486,64.39989177353486,64.39989177353486,64.39989177353486
2006-01-01,BOL,64.76163319710112,64.76163319710112,64.76163319710112,64.76163319710112
2007-01-01,BOL,65.04014820649671,65.04014820649671,65.04014820649671,65.04014820649671
2008-01-01,BOL,65.44537789035347,65.44537789035347,65.44537789035347,65.44537789035347
2009-01-01,BOL,65.86734812347993,65.86734812347993,65.86734812347993,65.86734812347993
2010-01-01,BOL,66.18000585877166,66.18000585877166,66.18000585877166,66.18000585877166
2011-01-01,BOL,66.51617058911269,66.51617058911269,66.51617058911269,66.51617058911269
2012-01-01,BOL,66.72212494673383,66.72212494673383,66.72212494673383,66.72212494673383
2013-01-01,BOL,67.01185142823088,67.01185142823088,67.01185142823088,67.01185142823088
2014-01-01,BOL,67.15739214781506,67.15739214781506,67.15739214781506,67.15739214781506
2015-01-01,BOL,67.38844335810471,67.38844335810471,67.38844335810471,67.38844335810471
2016-01-01,BOL,67.55572301340341,67.55572301340341,67.55572301340341,67.55572301340341
2017-01-01,BOL,67.70004705793131,67.70004705793131,67.70004705793131,67.70004705793131
2018-01-01,BOL,67.710975245025,67.710975245025,67.710975245025,67.710975245025
2019-01-01,BOL,67.88709459696778,67.88709459696778,67.88709459696778,67.88709459696778
2019-12-31,BOL,69.01828330124943,69.29202894168664,69.27260532229592,69.14003317545946
2020-12-31,BOL,69.24970098995378,69.50951286712971,69.49008924773901,69.37005999861472
2021-12-31,BOL,69.47864402115114,69.72355075476221,69.70412713537151,69.59774102929227
2022-12-31,BOL,69.71348913828486,69.93941521780457,69.91999159841386,69.83114140827198
2023-12-31,BOL,69.96035230886885,70.16489533051863,70.14547171112793,70.07649083620592
2024-12-31,BOL,70.19123419136606,70.3737901398994,70.35436652050869,70.30681412945844
2025-12-31,BOL,70.40869655724761,70.56730026942422,70.5478766500335,70.52385998587286
2000-01-01,BRA,69.73670000000001,69.73670000000001,69.73670000000001,69.73670000000001
2001-01-01,BRA,70.19490000000002,70.19490000000002,70.19490000000002,70.19490000000002
2002-01-01,BRA,70.41029999999996,70.41029999999996,70.41029999999996,70.41029999999996
2003-01-01,BRA,70.7204,70.7204,70.7204,70.7204
2004-01-01,BRA,71.13070000000002,71.13070000000002,71.13070000000002,71.13070000000002
