id_pais,year,poblacion
COL,2004,42075953.0
COL,2003,41483872.0
COL,2002,40875363.0
COL,2001,40255956.0
COL,2000,39629965.0
CHL,2020,19116209.0
CHL,2019,18952035.0
CHL,2018,18729166.0
CHL,2017,18470435.0
CHL,2016,18209072.0
CHL,2015,17969356.0
CHL,2014,17758969.0
CHL,2013,17571511.0
CHL,2012,17400359.0
CHL,2011,17233584.0
CHL,2010,17062531.0
CHL,2009,16886184.0
CHL,2008,16708255.0
CHL,2007,16530201.0
CHL,2006,16354507.0
CHL,2005,16182713.0
CHL,2004,16014972.0
CHL,2003,15849649.0
CHL,2002,15684413.0
CHL,2001,15516112.0
CHL,2000,15342350.0
CAN,2020,38037204.0
CAN,2019,37601230.0
CAN,2018,37065084.0
CAN,2017,36545236.0
CAN,2016,36109487.0
CAN,2015,35702908.0
CAN,2014,35437435.0
CAN,2013,35082954.0
CAN,2012,34714222.0
CAN,2011,34339328.0
CAN,2010,34004889.0
CAN,2009,33628895.0
CAN,2008,33247118.0
CAN,2007,32889025.0
CAN,2006,32571174.0
CAN,2005,32243753.0
CAN,2004,31940655.0
CAN,2003,31644028.0
CAN,2002,31360079.0
CAN,2001,31020902.0
CAN,2000,30685730.0
BRA,2020,212559409.0
BRA,2019,211049519.0
BRA,2018,209469320.0
BRA,2017,207833825.0
BRA,2016,206163056.0
BRA,2015,204471759.0
BRA,2014,202763744.0
BRA,2013,201035904.0
BRA,2012,199287292.0
BRA,2011,197514541.0
BRA,2010,195713637.0
BRA,2009,193886505.0
BRA,2008,192030362.0
BRA,2007,190130445.0
BRA,2006,188167353.0
BRA,2005,186127108.0
BRA,2004,184006479.0
BRA,2003,181809244.0
BRA,2002,179537523.0
BRA,2001,177196051.0
BRA,2000,174790339.0
BOL,2020,11673029.0
BOL,2019,11513102.0
BOL,2018,11353140.0
BOL,2017,11192853.0
BOL,2016,11031822.0
BOL,2015,10869732.0
BOL,2014,10706517.0
BOL,2013,10542375.0
BOL,2012,10377677.0
BOL,2011,10212951.0
BOL,2010,10048597.0
BOL,2009,9884790.0
BOL,2008,9721457.0
BOL,2007,9558438.0
BOL,2006,9395449.0
BOL,2005,9232301.0
BOL,2004,9069044.0
BOL,2003,8905820.0
BOL,2002,8742822.0
BOL,2001,8580244.0
BOL,2000,8418270.0
BLZ,2020,397621.0
BLZ,2019,390351.0
BLZ,2018,383071.0
BLZ,2017,375775.0
BLZ,2016,368399.0
BLZ,2015,360926.0
BLZ,2014,353366.0
BLZ,2013,345707.0
BLZ,2012,338001.0
BLZ,2011,330236.0
BLZ,2010,322465.0
BLZ,2009,314655.0
BLZ,2008,306822.0
BLZ,2007,299031.0
BLZ,2006,291338.0
BLZ,2005,283798.0
BLZ,2004,276516.0
BLZ,2003,269428.0
BLZ,2002,262387.0
BLZ,2001,255068.0
BLZ,2000,247310.0
BRB,2020,287371.0
BRB,2019,287021.0
BRB,2018,286640.0
BRB,2017,286229.0
BRB,2016,285798.0
BRB,2015,285327.0
BRB,2014,284825.0
BRB,2013,284294.0
BRB,2012,283698.0
BRB,2011,282987.0
BRB,2010,282131.0
BRB,2009,281107.0
BRB,2008,279946.0
BRB,2007,278701.0
BRB,2006,277475.0
BRB,2005,276320.0
BRB,2004,275283.0
BRB,2003,274331.0
BRB,2002,273423.0
BRB,2001,272494.0
BRB,2000,271511.0
ARG,2020,45376763.0
ARG,2019,44938712.0
ARG,2018,44494502.0
ARG,2017,44044811.0
ARG,2016,43590368.0
ARG,2015,43131966.0
ARG,2014,42669500.0
ARG,2013,42202935.0
ARG,2012,41733271.0
ARG,2011,41261490.0
ARG,2010,40788453.0
ARG,2009,40482786.0
ARG,2008,40080159.0
ARG,2007,39684303.0
ARG,2006,39289876.0
ARG,2005,38892924.0
ARG,2004,38491970.0
ARG,2003,38087866.0
ARG,2002,37681743.0
ARG,2001,37275644.0
ARG,2000,36870796.0
ATG,2020,97928.0
ATG,2019,97115.0
ATG,2018,96282.0
ATG,2017,95425.0
ATG,2016,94520.0
ATG,2015,93571.0
ATG,2014,92562.0
ATG,2013,91510.0
ATG,2012,90407.0
ATG,2011,89250.0
ATG,2010,88030.0
ATG,2009,86743.0
ATG,2008,85394.0
ATG,2007,84029.0
ATG,2006,82715.0
ATG,2005,81462.0
ATG,2004,80347.0
ATG,2003,79311.0
ATG,2002,78298.0
ATG,2001,77212.0
ATG,2000,76007.0
