id_pais,year,desarrollo
CHL,2009,0.352019995450974
CHL,2008,0.374969989061356
CHL,2007,0.309570014476776
CHL,2006,
CHL,2005,
CHL,2004,
CHL,2003,
CHL,2002,
CHL,2001,
CHL,2000,
CAN,2020,1.69781005382538
CAN,2019,1.59162998199463
CAN,2018,1.67917001247406
CAN,2017,1.68579995632172
CAN,2016,1.72872996330261
CAN,2015,1.69324004650116
CAN,2014,1.71416997909546
CAN,2013,1.70539999008179
CAN,2012,1.77232003211975
CAN,2011,1.78714001178741
CAN,2010,1.82527995109558
CAN,2009,1.9174200296402
CAN,2008,1.85578000545502
CAN,2007,1.90357995033264
CAN,2006,1.94304001331329
CAN,2005,1.97126996517181
CAN,2004,1.99733996391296
CAN,2003,1.96781003475189
CAN,2002,1.97170996665955
CAN,2001,2.02116990089417
CAN,2000,1.85847997665405
BRA,2020,
BRA,2019,1.20802998542786
BRA,2018,1.16769003868103
BRA,2017,1.11749994754791
BRA,2016,1.28637003898621
BRA,2015,1.37092995643616
BRA,2014,1.26970994472504
BRA,2013,1.19567000865936
BRA,2012,1.12683999538422
BRA,2011,1.13966000080109
BRA,2010,1.15991997718811
BRA,2009,1.11865997314453
BRA,2008,1.12904000282288
BRA,2007,1.08138000965118
BRA,2006,0.988070011138916
BRA,2005,1.00246000289917
BRA,2004,0.963429987430573
BRA,2003,0.999390006065369
BRA,2002,1.0096800327301
BRA,2001,1.06198000907898
BRA,2000,1.04751002788544
BOL,2020,
BOL,2019,
BOL,2018,
BOL,2017,
BOL,2016,
BOL,2015,
BOL,2014,
BOL,2013,
BOL,2012,
BOL,2011,
BOL,2010,
BOL,2009,0.157000005245209
BOL,2008,
BOL,2007,
BOL,2006,
BOL,2005,
BOL,2004,
BOL,2003,
BOL,2002,0.276630014181137
BOL,2001,0.293579995632172
BOL,2000,0.287440001964569
BLZ,2020,
BLZ,2019,
BLZ,2018,
BLZ,2017,
BLZ,2016,
BLZ,2015,
BLZ,2014,
BLZ,2013,
BLZ,2012,
BLZ,2011,
BLZ,2010,
BLZ,2009,
BLZ,2008,
BLZ,2007,
BLZ,2006,
BLZ,2005,
BLZ,2004,
BLZ,2003,
BLZ,2002,
BLZ,2001,
BLZ,2000,
BRB,2020,
BRB,2019,
BRB,2018,
BRB,2017,
BRB,2016,
BRB,2015,
BRB,2014,
BRB,2013,
BRB,2012,
BRB,2011,
BRB,2010,
BRB,2009,
BRB,2008,
BRB,2007,
BRB,2006,
BRB,2005,
BRB,2004,
BRB,2003,
BRB,2002,
BRB,2001,
BRB,2000,
ARG,2020,
ARG,2019,0.457130014896393
ARG,2018,0.494349986314774
ARG,2017,0.556309998035431
ARG,2016,0.558149993419647
ARG,2015,0.622619986534119
ARG,2014,0.593959987163544
ARG,2013,0.618489980697632
ARG,2012,0.634909987449646
ARG,2011,0.565970003604889
ARG,2010,0.561039984226227
ARG,2009,0.583980023860931
ARG,2008,0.470550000667572
ARG,2007,0.460070013999939
ARG,2006,0.452160000801086
ARG,2005,0.420740008354187
ARG,2004,0.403759986162186
ARG,2003,0.410129994153976
ARG,2002,0.388859987258911
ARG,2001,0.424609988927841
ARG,2000,0.438840001821518
ATG,2020,
ATG,2019,
ATG,2018,
ATG,2017,
ATG,2016,
ATG,2015,
ATG,2014,
ATG,2013,
ATG,2012,
ATG,2011,
ATG,2010,
ATG,2009,
ATG,2008,
ATG,2007,
ATG,2006,
ATG,2005,
ATG,2004,
ATG,2003,
ATG,2002,
ATG,2001,
ATG,2000,
