DATASOURCE (code);PUBLISHSTATE (code);YEAR (code);REGION (code);COUNTRY (code);ALCOHOLTYPE (code);SA_0000001400 (string);SA_0000001400 (numeric);SA_0000001400 (low);SA_0000001400 (high);SA_0000001400 (comment)
GISAHAGO;PUBLISHED;2007;AFR;AGO;SA_BEER;2.91;2.90574;1.75081;4.04623;
GISAHAGO;PUBLISHED;2007;AFR;AGO;SA_WINE;1.24;1.24133;0.78116;1.72435;
GISAHAGO;PUBLISHED;2007;AFR;AGO;SA_SPIRITS;0.51;0.51408;0.31541;0.71652;
GISAHAGO;PUBLISHED;2007;AFR;AGO;SA_OTHER_ALCOHOL;0.02;0.01855;0.01179;0.02549;
GISAHAGO;PUBLISHED;2007;AFR;AGO;SA_TOTAL;4.68;4.67969;3.42125;5.98596;
GISAHAGO;PUBLISHED;2008;AFR;AGO;SA_BEER;3.27;3.26552;1.98233;4.52684;
GISAHAGO;PUBLISHED;2008;AFR;AGO;SA_WINE;1.36;1.35604;0.8023;1.90414;
GISAHAGO;PUBLISHED;2008;AFR;AGO;SA_SPIRITS;0.55;0.546;0.32173;0.74105;
GISAHAGO;PUBLISHED;2008;AFR;AGO;SA_OTHER_ALCOHOL;0.03;0.02696;0.01634;0.03773;
GISAHAGO;PUBLISHED;2008;AFR;AGO;SA_TOTAL;5.19;5.19452;3.81229;6.5654;
GISAHAGO;PUBLISHED;2009;AFR;AGO;SA_BEER;3.95;3.95114;2.45671;5.47917;
GISAHAGO;PUBLISHED;2009;AFR;AGO;SA_WINE;0.90;0.90148;0.5498;1.23874;
GISAHAGO;PUBLISHED;2009;AFR;AGO;SA_SPIRITS;1.24;1.23677;0.76582;1.71294;
GISAHAGO;PUBLISHED;2009;AFR;AGO;SA_OTHER_ALCOHOL;0.03;0.0284;0.0186;0.03978;
GISAHAGO;PUBLISHED;2009;AFR;AGO;SA_TOTAL;6.12;6.11778;4.47467;7.75035;
GISAHBEN;PUBLISHED;2000;AFR;BEN;SA_BEER;0.54;0.54424;0.32502;0.76554;
GISAHBEN;PUBLISHED;2000;AFR;BEN;SA_WINE;0.12;0.11797;0.06962;0.16264;
GISAHBEN;PUBLISHED;2000;AFR;BEN;SA_SPIRITS;0.31;0.30764;0.18471;0.43713;
GISAHBEN;PUBLISHED;2000;AFR;BEN;SA_OTHER_ALCOHOL;0.47;0.46581;0.29188;0.6397;
GISAHBEN;PUBLISHED;2000;AFR;BEN;SA_TOTAL;1.44;1.43565;1.10622;1.73648;
GISAHBEN;PUBLISHED;2001;AFR;BEN;SA_BEER;0.67;0.66626;0.41819;0.92794;
GISAHBEN;PUBLISHED;2001;AFR;BEN;SA_WINE;0.12;0.11797;0.07132;0.16281;
GISAHBEN;PUBLISHED;2001;AFR;BEN;SA_SPIRITS;0.13;0.13006;0.07815;0.17989;
GISAHBEN;PUBLISHED;2001;AFR;BEN;SA_OTHER_ALCOHOL;0.48;0.48058;0.29722;0.67223;
GISAHBEN;PUBLISHED;2001;AFR;BEN;SA_TOTAL;1.39;1.39487;1.0663;1.71931;
GISAHBEN;PUBLISHED;2002;AFR;BEN;SA_BEER;0.74;0.74333;0.43711;1.04268;
GISAHBEN;PUBLISHED;2002;AFR;BEN;SA_WINE;0.10;0.10028;0.06196;0.13982;
GISAHBEN;PUBLISHED;2002;AFR;BEN;SA_SPIRITS;0.02;0.01823;0.01133;0.02562;
GISAHBEN;PUBLISHED;2002;AFR;BEN;SA_OTHER_ALCOHOL;0.48;0.47969;0.29314;0.67189;
GISAHBEN;PUBLISHED;2002;AFR;BEN;SA_TOTAL;1.34;1.34153;0.9944;1.70078;
GISAHBEN;PUBLISHED;2003;AFR;BEN;SA_BEER;0.71;0.71192;0.41868;0.98846;
GISAHBEN;PUBLISHED;2003;AFR;BEN;SA_WINE;0.12;0.11523;0.06945;0.15948;
GISAHBEN;PUBLISHED;2003;AFR;BEN;SA_SPIRITS;0.19;0.19139;0.11491;0.2637;
GISAHBEN;PUBLISHED;2003;AFR;BEN;SA_OTHER_ALCOHOL;0.44;0.4445;0.27234;0.60525;
GISAHBEN;PUBLISHED;2003;AFR;BEN;SA_TOTAL;1.46;1.46304;1.09066;1.78563;
GISAHBEN;PUBLISHED;2004;AFR;BEN;SA_BEER;0.54;0.54301;0.32437;0.7567;
GISAHBEN;PUBLISHED;2004;AFR;BEN;SA_WINE;0.12;0.12137;0.07508;0.17177;
GISAHBEN;PUBLISHED;2004;AFR;BEN;SA_SPIRITS;0.16;0.15726;0.09632;0.2217;
GISAHBEN;PUBLISHED;2004;AFR;BEN;SA_OTHER_ALCOHOL;0.43;0.43145;0.26234;0.60407;
GISAHBEN;PUBLISHED;2004;AFR;BEN;SA_TOTAL;1.25;1.2531;0.97186;1.54057;
GISAHBEN;PUBLISHED;2005;AFR;BEN;SA_BEER;0.52;0.52085;0.32148;0.70796;
GISAHBEN;PUBLISHED;2005;AFR;BEN;SA_WINE;0.14;0.14254;0.08941;0.20104;
GISAHBEN;PUBLISHED;2005;AFR;BEN;SA_SPIRITS;0.16;0.15892;0.09578;0.2228;
GISAHBEN;PUBLISHED;2005;AFR;BEN;SA_OTHER_ALCOHOL;0.42;0.41845;0.25589;0.58014;
GISAHBEN;PUBLISHED;2005;AFR;BEN;SA_TOTAL;1.24;1.24076;0.96759;1.51104;
GISAHBEN;PUBLISHED;2006;AFR;BEN;SA_BEER;0.54;0.54146;0.33051;0.74513;
GISAHBEN;PUBLISHED;2006;AFR;BEN;SA_WINE;0.17;0.17257;0.10553;0.23369;
GISAHBEN;PUBLISHED;2006;AFR;BEN;SA_SPIRITS;0.19;0.19348;0.11592;0.26219;
GISAHBEN;PUBLISHED;2006;AFR;BEN;SA_OTHER_ALCOHOL;0.39;0.38659;0.24425;0.5432;
GISAHBEN;PUBLISHED;2006;AFR;BEN;SA_TOTAL;1.29;1.29411;1.02191;1.566;
GISAHBEN;PUBLISHED;2007;AFR;BEN;SA_BEER;0.56;0.56355;0.3461;0.79181;
GISAHBEN;PUBLISHED;2007;AFR;BEN;SA_WINE;0.17;0.17444;0.10352;0.24201;
GISAHBEN;PUBLISHED;2007;AFR;BEN;SA_SPIRITS;0.10;0.10222;0.0582;0.14343;
GISAHBEN;PUBLISHED;2007;AFR;BEN;SA_OTHER_ALCOHOL;0.39;0.39034;0.23056;0.52803;
GISAHBEN;PUBLISHED;2007;AFR;BEN;SA_TOTAL;1.23;1.23055;0.9328;1.51353;
GISAHBEN;PUBLISHED;2008;AFR;BEN;SA_BEER;0.64;0.64038;0.38291;0.90575;
GISAHBEN;PUBLISHED;2008;AFR;BEN;SA_WINE;0.16;0.16117;0.09937;0.22135;
GISAHBEN;PUBLISHED;2008;AFR;BEN;SA_SPIRITS;0.26;0.25763;0.16168;0.35922;
GISAHBEN;PUBLISHED;2008;AFR;BEN;SA_OTHER_ALCOHOL;0.32;0.32419;0.21019;0.46065;
GISAHBEN;PUBLISHED;2008;AFR;BEN;SA_TOTAL;1.38;1.38337;1.06659;1.69574;
GISAHBEN;PUBLISHED;2009;AFR;BEN;SA_BEER;0.64;0.64;0.38843;0.89636;
GISAHBEN;PUBLISHED;2009;AFR;BEN;SA_WINE;0.20;0.19933;0.12351;0.28068;
GISAHBEN;PUBLISHED;2009;AFR;BEN;SA_SPIRITS;0.15;0.15336;0.09485;0.21298;
GISAHBEN;PUBLISHED;2009;AFR;BEN;SA_OTHER_ALCOHOL;0.26;0.26261;0.16116;0.35979;
GISAHBEN;PUBLISHED;2009;AFR;BEN;SA_TOTAL;1.26;1.2553;0.97326;1.54795;
GISAHBWA;PUBLISHED;2000;AFR;BWA;SA_BEER;2.31;2.30919;1.46657;3.22487;
GISAHBWA;PUBLISHED;2000;AFR;BWA;SA_WINE;0.34;0.34;0.20376;0.47769;
GISAHBWA;PUBLISHED;2000;AFR;BWA;SA_SPIRITS;0.54;0.54;0.3304;0.7629;
GISAHBWA;PUBLISHED;2000;AFR;BWA;SA_OTHER_ALCOHOL;2.19;2.19;1.29857;3.03193;
GISAHBWA;PUBLISHED;2000;AFR;BWA;SA_TOTAL;5.38;5.37919;4.16357;6.5689;
GISAHBWA;PUBLISHED;2001;AFR;BWA;SA_BEER;2.71;2.70781;1.74838;3.8116;
GISAHBWA;PUBLISHED;2001;AFR;BWA;SA_WINE;0.23;0.23;0.14165;0.32204;
GISAHBWA;PUBLISHED;2001;AFR;BWA;SA_SPIRITS;0.36;0.36;0.21183;0.5074;
GISAHBWA;PUBLISHED;2001;AFR;BWA;SA_OTHER_ALCOHOL;2.20;2.2;1.36269;3.02571;
GISAHBWA;PUBLISHED;2001;AFR;BWA;SA_TOTAL;5.50;5.49781;4.21098;6.83434;
GISAHBWA;PUBLISHED;2002;AFR;BWA;SA_BEER;2.62;2.6215;1.6211;3.67648;
GISAHBWA;PUBLISHED;2002;AFR;BWA;SA_WINE;0.53;0.53;0.32159;0.74342;
GISAHBWA;PUBLISHED;2002;AFR;BWA;SA_SPIRITS;1.22;1.22;0.74477;1.71237;
GISAHBWA;PUBLISHED;2002;AFR;BWA;SA_OTHER_ALCOHOL;2.06;2.06;1.23789;2.89199;
GISAHBWA;PUBLISHED;2002;AFR;BWA;SA_TOTAL;6.43;6.4315;4.98882;7.78234;
GISAHBWA;PUBLISHED;2003;AFR;BWA;SA_BEER;2.51;2.50532;1.40392;3.51074;
GISAHBWA;PUBLISHED;2003;AFR;BWA;SA_WINE;0.46;0.46;0.28946;0.65138;
GISAHBWA;PUBLISHED;2003;AFR;BWA;SA_SPIRITS;0.82;0.82;0.51454;1.1301;
GISAHBWA;PUBLISHED;2003;AFR;BWA;SA_OTHER_ALCOHOL;1.84;1.84;1.08863;2.58504;
GISAHBWA;PUBLISHED;2003;AFR;BWA;SA_TOTAL;5.63;5.62532;4.2211;6.91036;
GISAHBWA;PUBLISHED;2004;AFR;BWA;SA_BEER;2.48;2.47809;1.48834;3.48372;
GISAHBWA;PUBLISHED;2004;AFR;BWA;SA_WINE;0.45;0.45;0.27508;0.61299;
GISAHBWA;PUBLISHED;2004;AFR;BWA;SA_SPIRITS;0;0;0;0;
GISAHBWA;PUBLISHED;2004;AFR;BWA;SA_OTHER_ALCOHOL;1.98;1.98;1.20123;2.74239;
GISAHBWA;PUBLISHED;2004;AFR;BWA;SA_TOTAL;4.91;4.90809;3.58178;6.16216;
GISAHBWA;PUBLISHED;2005;AFR;BWA;SA_BEER;2.58;2.58297;1.56298;3.62008;
GISAHBWA;PUBLISHED;2005;AFR;BWA;SA_WINE;0.91;0.91323;0.55197;1.25724;
GISAHBWA;PUBLISHED;2005;AFR;BWA;SA_SPIRITS;1.01;1.0147;0.60809;1.40398;
GISAHBWA;PUBLISHED;2005;AFR;BWA;SA_OTHER_ALCOHOL;1.86;1.86447;1.12504;2.54754;
GISAHBWA;PUBLISHED;2005;AFR;BWA;SA_TOTAL;6.38;6.37538;5.05772;7.58707;
GISAHBWA;PUBLISHED;2006;AFR;BWA;SA_BEER;2.65;2.65414;1.65041;3.70555;
GISAHBWA;PUBLISHED;2006;AFR;BWA;SA_WINE;1.43;1.42682;0.89194;1.96327;
GISAHBWA;PUBLISHED;2006;AFR;BWA;SA_SPIRITS;1.07;1.07107;0.63829;1.49544;
GISAHBWA;PUBLISHED;2006;AFR;BWA;SA_OTHER_ALCOHOL;1.99;1.98858;1.18605;2.76757;
GISAHBWA;PUBLISHED;2006;AFR;BWA;SA_TOTAL;7.14;7.14061;5.70396;8.66338;
GISAHBWA;PUBLISHED;2007;AFR;BWA;SA_BEER;2.65;2.64552;1.66652;3.6411;
GISAHBWA;PUBLISHED;2007;AFR;BWA;SA_WINE;1.83;1.83352;1.08078;2.59045;
GISAHBWA;PUBLISHED;2007;AFR;BWA;SA_SPIRITS;0.49;0.4896;0.29202;0.68828;
GISAHBWA;PUBLISHED;2007;AFR;BWA;SA_OTHER_ALCOHOL;1.90;1.90382;1.16751;2.58964;
GISAHBWA;PUBLISHED;2007;AFR;BWA;SA_TOTAL;6.87;6.87246;5.41867;8.30754;
GISAHBWA;PUBLISHED;2008;AFR;BWA;SA_BEER;2.17;2.17467;1.25599;2.9792;
GISAHBWA;PUBLISHED;2008;AFR;BWA;SA_WINE;1.14;1.1354;0.70267;1.57304;
GISAHBWA;PUBLISHED;2008;AFR;BWA;SA_SPIRITS;2.08;2.07931;1.22192;2.87861;
GISAHBWA;PUBLISHED;2008;AFR;BWA;SA_OTHER_ALCOHOL;2.13;2.13203;1.26206;2.96573;
GISAHBWA;PUBLISHED;2008;AFR;BWA;SA_TOTAL;7.52;7.52142;5.93194;9.07828;
GISAHBWA;PUBLISHED;2009;AFR;BWA;SA_BEER;2.28;2.28086;1.40609;3.15797;
GISAHBWA;PUBLISHED;2009;AFR;BWA;SA_WINE;0.71;0.70706;0.39848;0.99841;
GISAHBWA;PUBLISHED;2009;AFR;BWA;SA_SPIRITS;0.67;0.66713;0.41118;0.93606;
GISAHBWA;PUBLISHED;2009;AFR;BWA;SA_OTHER_ALCOHOL;1.70;1.70496;0.99689;2.3694;
GISAHBWA;PUBLISHED;2009;AFR;BWA;SA_TOTAL;5.36;5.36001;4.097;6.4949;
GISAHBFA;PUBLISHED;2000;AFR;BFA;SA_BEER;0.40;0.40217;0.23396;0.57608;
GISAHBFA;PUBLISHED;2000;AFR;BFA;SA_WINE;0.08;0.0789;0.04746;0.11003;
GISAHBFA;PUBLISHED;2000;AFR;BFA;SA_SPIRITS;0.29;0.28866;0.18237;0.39556;
GISAHBFA;PUBLISHED;2000;AFR;BFA;SA_OTHER_ALCOHOL;3.74;3.73618;2.24334;5.28854;
GISAHBFA;PUBLISHED;2000;AFR;BFA;SA_TOTAL;4.51;4.5059;3.00864;6.05183;
GISAHBFA;PUBLISHED;2001;AFR;BFA;SA_BEER;0.39;0.387;0.2371;0.53474;
GISAHBFA;PUBLISHED;2001;AFR;BFA;SA_WINE;0.08;0.0789;0.04926;0.10847;
GISAHBFA;PUBLISHED;2001;AFR;BFA;SA_SPIRITS;0.23;0.23378;0.13784;0.32669;
GISAHBFA;PUBLISHED;2001;AFR;BFA;SA_OTHER_ALCOHOL;4.83;4.82688;2.92666;6.65526;
GISAHBFA;PUBLISHED;2001;AFR;BFA;SA_TOTAL;5.53;5.52657;3.62983;7.38341;
GISAHBFA;PUBLISHED;2002;AFR;BFA;SA_BEER;0.41;0.41477;0.2477;0.57181;
GISAHBFA;PUBLISHED;2002;AFR;BFA;SA_WINE;0.08;0.07662;0.04562;0.1081;
GISAHBFA;PUBLISHED;2002;AFR;BFA;SA_SPIRITS;0.27;0.27395;0.15985;0.37903;
GISAHBFA;PUBLISHED;2002;AFR;BFA;SA_OTHER_ALCOHOL;4.72;4.71789;2.81652;6.49074;
GISAHBFA;PUBLISHED;2002;AFR;BFA;SA_TOTAL;5.48;5.48323;3.55359;7.2989;
GISAHBFA;PUBLISHED;2003;AFR;BFA;SA_BEER;0.41;0.41259;0.24071;0.58166;
GISAHBFA;PUBLISHED;2003;AFR;BFA;SA_WINE;0.07;0.06528;0.03864;0.09188;
GISAHBFA;PUBLISHED;2003;AFR;BFA;SA_SPIRITS;0.21;0.21457;0.13516;0.29835;
GISAHBFA;PUBLISHED;2003;AFR;BFA;SA_OTHER_ALCOHOL;4.87;4.87271;3.00835;6.68808;
GISAHBFA;PUBLISHED;2003;AFR;BFA;SA_TOTAL;5.57;5.56515;3.65744;7.40132;
GISAHBFA;PUBLISHED;2004;AFR;BFA;SA_BEER;0.42;0.42036;0.24662;0.59391;
GISAHBFA;PUBLISHED;2004;AFR;BFA;SA_WINE;0.10;0.09663;0.06093;0.13389;
GISAHBFA;PUBLISHED;2004;AFR;BFA;SA_SPIRITS;0.17;0.17435;0.10971;0.23936;
GISAHBFA;PUBLISHED;2004;AFR;BFA;SA_OTHER_ALCOHOL;4.82;4.8213;2.94579;6.6752;
GISAHBFA;PUBLISHED;2004;AFR;BFA;SA_TOTAL;5.51;5.51264;3.65477;7.35682;
