PAIS,NOMBRE PAIS,ANIO,IND.N.VIDA,ESPERANZA
DMA,Dominica,2010,7.927720919806167,71.5499
DMA,Dominica,2011,8.076083647610742,69.6948
DMA,Dominica,2012,8.335489636223434,70.5383
DMA,Dominica,2013,8.47646144378268,68.8962
DMA,Dominica,2014,8.651343662528392,69.4342
DMA,Dominica,2015,9.1290361239618,68.7266
DMA,Dominica,2016,9.646241676378608,70.1284
DMA,Dominica,2017,10.261726947861247,67.5253
DMA,Dominica,2018,10.389970895927602,73.59
DMA,Dominica,2019,10.581491096774192,73.5588
DMA,Dominica,2020,10.741781004232568,73.649
DOM,Dominican Republic,2000,5.562115133893359,69.4232
DOM,Dominican Republic,2001,5.708592930639825,69.6416
DOM,Dominican Republic,2002,5.83519115910653,69.923
DOM,Dominican Republic,2003,5.932986817906032,70.2649
DOM,Dominican Republic,2004,6.201153647226961,70.3305
DOM,Dominican Republic,2005,6.472556679788847,70.8752
DOM,Dominican Republic,2006,6.737139500504996,71.1654
DOM,Dominican Republic,2007,7.523067170390213,71.371
DOM,Dominican Republic,2008,7.713163113756198,71.6577
DOM,Dominican Republic,2009,7.932260108905608,71.871
DOM,Dominican Republic,2010,8.21041161873012,72.0933
DOM,Dominican Republic,2011,8.437595072639144,72.2212
DOM,Dominican Republic,2012,8.703281813052957,72.5142
DOM,Dominican Republic,2013,8.985026786742607,72.7127
DOM,Dominican Republic,2014,9.236136217723976,72.8665
DOM,Dominican Republic,2015,9.518251842161412,72.9531
DOM,Dominican Republic,2016,9.865746263028418,72.9867
DOM,Dominican Republic,2017,10.280312034345048,73.0629
DOM,Dominican Republic,2018,10.434451494078871,73.2323
DOM,Dominican Republic,2019,10.459854423995939,73.5767
DOM,Dominican Republic,2020,10.796059629721363,72.8894
ECU,Ecuador,2000,6.497377011421395,72.8394
ECU,Ecuador,2001,6.487648699464062,73.2395
ECU,Ecuador,2002,6.484288447451278,73.6134
ECU,Ecuador,2003,6.502932744208943,73.9751
ECU,Ecuador,2004,6.715941997661331,74.2788
ECU,Ecuador,2005,7.056205972472998,74.5144
ECU,Ecuador,2006,7.338860143139655,74.689
ECU,Ecuador,2007,7.644451148488538,74.8445
ECU,Ecuador,2008,7.947323122455349,74.983
ECU,Ecuador,2009,8.121438090425126,75.1841
ECU,Ecuador,2010,8.43358757465959,75.4301
ECU,Ecuador,2011,8.668027685318046,75.7425
ECU,Ecuador,2012,9.012487294274077,76.0616
ECU,Ecuador,2013,9.450293448640652,76.3694
ECU,Ecuador,2014,9.905623062296272,76.6221
ECU,Ecuador,2015,10.27040629610664,76.7893
ECU,Ecuador,2016,10.706062850329973,76.7634
ECU,Ecuador,2017,11.324031271390892,76.9725
ECU,Ecuador,2018,11.927424172737917,77.0938
ECU,Ecuador,2019,12.280818172461796,77.2971
ECU,Ecuador,2020,12.662335077529114,72.1535
GRD,Grenada,2000,7.69876586903297,72.7829
GRD,Grenada,2001,7.815342720341944,73.1181
GRD,Grenada,2002,7.954201107111843,73.167
GRD,Grenada,2003,7.926474915712405,73.1875
GRD,Grenada,2004,7.9299360175426505,71.7876
GRD,Grenada,2005,8.170879368545437,73.5214
GRD,Grenada,2006,8.581929003866959,73.7004
GRD,Grenada,2007,8.783214451899568,74.3165
GRD,Grenada,2008,8.955062723785167,74.6558
GRD,Grenada,2009,8.892300826123076,75.0363
GRD,Grenada,2010,9.11968014209209,74.9988
GRD,Grenada,2011,9.325050979714995,75.2947
GRD,Grenada,2012,9.715326169694265,75.0416
GRD,Grenada,2013,9.921152919528526,75.1161
GRD,Grenada,2014,9.995244986834166,74.985
GRD,Grenada,2015,10.051191721038373,75.0125
GRD,Grenada,2016,10.07416048956642,74.7622
GRD,Grenada,2017,10.085911189851643,74.7652
GRD,Grenada,2018,10.06142159191763,74.8076
GRD,Grenada,2019,10.055074083232633,74.8632
GRD,Grenada,2020,10.042128740489765,74.9238
GTM,Guatemala,2000,5.682251625042327,67.4459
GTM,Guatemala,2001,5.747740654841466,67.9464
GTM,Guatemala,2002,6.14254157738365,68.3865
GTM,Guatemala,2003,6.110686998093392,68.7969
GTM,Guatemala,2004,6.136632032546314,69.1648
GTM,Guatemala,2005,6.338998805141703,69.1675
GTM,Guatemala,2006,6.880385262252871,69.8124
GTM,Guatemala,2007,6.7431191833996476,70.1002
GTM,Guatemala,2008,6.9600356834630555,70.3556
GTM,Guatemala,2009,7.21791055466,70.6414
GTM,Guatemala,2010,7.50124472454394,70.8783
GTM,Guatemala,2011,7.6649624776986895,71.1769
GTM,Guatemala,2012,8.056152427620145,71.463
GTM,Guatemala,2013,8.336040920438009,71.728
GTM,Guatemala,2014,8.281529936094845,71.9638
GTM,Guatemala,2015,9.000930434794975,72.103
GTM,Guatemala,2016,9.365953145680118,72.3547
GTM,Guatemala,2017,9.759746631349671,72.5506
GTM,Guatemala,2018,10.092962227538452,72.7257
GTM,Guatemala,2019,10.275948462176446,73.1289
GTM,Guatemala,2020,10.528868665963751,71.7969
GUY,Guyana,2000,3.142529924676261,64.4833
GUY,Guyana,2001,3.2871110799807344,64.7882
GUY,Guyana,2002,3.465224847109546,64.7275
GUY,Guyana,2003,3.5950433388924066,64.6003
GUY,Guyana,2004,3.7036261019544297,64.9305
GUY,Guyana,2005,3.847152383438817,65.132
GUY,Guyana,2006,3.884136165197954,65.6666
GUY,Guyana,2007,4.470779078009464,66.2535
GUY,Guyana,2008,4.858867695695081,66.288
GUY,Guyana,2009,4.97634902796216,66.5625
GUY,Guyana,2010,5.5558109483538844,66.743
GUY,Guyana,2011,5.850843506902893,66.9818
GUY,Guyana,2012,6.169890849426217,67.2298
GUY,Guyana,2013,6.5092064165537185,67.4727
GUY,Guyana,2014,6.836066036961453,67.8818
GUY,Guyana,2015,7.201168159268527,68.2015
GUY,Guyana,2016,7.667582708160455,68.384
GUY,Guyana,2017,8.157355096772921,68.6668
GUY,Guyana,2018,8.723354697951393,68.8959
GUY,Guyana,2019,8.850215016824194,69.1239
GUY,Guyana,2020,9.209233999414497,68.4858
HND,Honduras,2000,5.016606148800026,68.6618
HND,Honduras,2001,4.940454397869808,69.0061
HND,Honduras,2002,4.996138994869435,69.3664
HND,Honduras,2003,5.263496673453388,69.5071
HND,Honduras,2004,5.5351142457886215,69.7957
HND,Honduras,2005,5.813754834803819,70.1041
HND,Honduras,2006,6.16548653806579,70.2608
HND,Honduras,2007,6.513228244720504,70.3765
HND,Honduras,2008,6.930456269577001,70.4414
HND,Honduras,2009,7.313512686951209,70.9113
HND,Honduras,2010,7.8085984961586785,71.0884
HND,Honduras,2011,8.1746844315175,71.4386
HND,Honduras,2012,8.554706937930215,71.7344
HND,Honduras,2013,9.159462156696199,71.9629
HND,Honduras,2014,9.547597117455137,72.2594
HND,Honduras,2015,10.001958543299724,72.4871
HND,Honduras,2016,10.51144546164874,72.5878
HND,Honduras,2017,10.235627962858187,72.6918
HND,Honduras,2018,11.062015358764825,72.8141
HND,Honduras,2019,11.033805414375012,72.8811
HND,Honduras,2020,11.443878160247891,71.4619
HTI,Haiti,2000,0.6214233654472147,58.3652
HTI,Haiti,2001,0.6582347572807314,58.4886
HTI,Haiti,2002,0.7815490550567451,58.8545
HTI,Haiti,2003,0.8395531465722099,59.5065
HTI,Haiti,2004,0.9710300722861017,58.4755
HTI,Haiti,2005,1.0522239233615438,60.4153
HTI,Haiti,2006,1.1004284039723173,60.7632
HTI,Haiti,2007,1.2268663729642622,61.103
HTI,Haiti,2008,1.323599074914186,61.3322
HTI,Haiti,2009,1.4222886690248044,61.7409
HTI,Haiti,2010,1.526323148291559,46.0185
HTI,Haiti,2011,1.6856156853123014,61.6227
HTI,Haiti,2012,1.8513553365812363,62.2915
HTI,Haiti,2013,2.059962474936855,62.6047
HTI,Haiti,2014,2.1830041512257434,62.9875
HTI,Haiti,2015,2.358157799822846,63.2372
HTI,Haiti,2016,2.4370086425359783,63.3922
HTI,Haiti,2017,2.7756757115358153,63.8538
HTI,Haiti,2018,2.9676345740640855,64.0188
HTI,Haiti,2019,3.098136579734933,64.2546
HTI,Haiti,2020,3.245882951576344,64.0518
JAM,Jamaica,2000,6.921177425648335,70.9442
JAM,Jamaica,2001,7.272870247448063,70.758
JAM,Jamaica,2002,7.259762144078616,70.8882
JAM,Jamaica,2003,7.338440210808618,70.8062
JAM,Jamaica,2004,7.661290267543865,70.8603
JAM,Jamaica,2005,8.014680676808771,71.0438
JAM,Jamaica,2006,8.3320072168165,71.1993
JAM,Jamaica,2007,8.641158971157784,71.4179
JAM,Jamaica,2008,9.126813558379052,71.6122
JAM,Jamaica,2009,9.288346669313682,72.1238
JAM,Jamaica,2010,9.702700890324946,72.6219
JAM,Jamaica,2011,9.910811158550704,73.0942
JAM,Jamaica,2012,10.47711605123122,73.4335
JAM,Jamaica,2013,10.907704589771168,73.4119
JAM,Jamaica,2014,11.08284515779852,72.982
JAM,Jamaica,2015,11.534387355066562,72.394
JAM,Jamaica,2016,12.087473055657263,72.0198
JAM,Jamaica,2017,12.58338081279611,71.9114
JAM,Jamaica,2018,13.069461312684421,71.793
JAM,Jamaica,2019,13.119191712623964,71.767
JAM,Jamaica,2020,13.448202566770187,71.8686
KNA,St. Kitts and Nevis,2000,10.084274299122518,69.7815
KNA,St. Kitts and Nevis,2001,9.415275139539528,70.1995
KNA,St. Kitts and Nevis,2002,9.231321734808468,70.4518
KNA,St. Kitts and Nevis,2003,8.979608337326717,70.7676
KNA,St. Kitts and Nevis,2004,9.044697733554287,71.303
KNA,St. Kitts and Nevis,2005,9.08746615627975,71.3616
KNA,St. Kitts and Nevis,2006,8.889267318549752,71.2885
KNA,St. Kitts and Nevis,2007,8.649690064070569,71.3668
KNA,St. Kitts and Nevis,2008,8.622663061019221,71.3738
KNA,St. Kitts and Nevis,2009,8.832287972082625,71.3927
KNA,St. Kitts and Nevis,2010,9.437424708481704,71.2705
KNA,St. Kitts and Nevis,2011,9.975855315599519,71.5378
KNA,St. Kitts and Nevis,2012,10.466014230371458,71.669
KNA,St. Kitts and Nevis,2013,10.887092817122108,71.457
KNA,St. Kitts and Nevis,2014,10.9625085072157,70.9659
KNA,St. Kitts and Nevis,2015,11.017628449429512,70.763
KNA,St. Kitts and Nevis,2016,11.094869856280429,71.7405
KNA,St. Kitts and Nevis,2017,11.12302942444358,71.8399
KNA,St. Kitts and Nevis,2018,11.140429548689871,71.4671
KNA,St. Kitts and Nevis,2019,11.06470318741503,71.5717
KNA,St. Kitts and Nevis,2020,11.004859322387482,71.6266
LCA,St. Lucia,2000,7.137649889128978,70.7678
LCA,St. Lucia,2001,6.959696357228127,71.1345
LCA,St. Lucia,2002,6.813986849589227,71.472
