PAIS,NOMBRE PAIS,ANIO,TRAB.INDEX,ESPERANZA
ECU,Ecuador,2002,708.3451114299007,73.6134
ECU,Ecuador,2003,859.3343721516703,73.9751
ECU,Ecuador,2004,1086.537786868426,74.2788
ECU,Ecuador,2005,1241.0959392771751,74.5144
ECU,Ecuador,2006,1367.4285044880005,74.689
ECU,Ecuador,2007,1445.282359651144,74.8445
ECU,Ecuador,2008,1676.9905144148147,74.983
ECU,Ecuador,2009,1698.9801787035585,75.1841
ECU,Ecuador,2010,1824.147708158102,75.4301
ECU,Ecuador,2011,2019.0502460494815,75.7425
ECU,Ecuador,2012,2272.975348677813,76.0616
ECU,Ecuador,2013,2460.6955994767586,76.3694
ECU,Ecuador,2014,2606.3821609956776,76.6221
ECU,Ecuador,2015,2680.159590210277,76.7893
ECU,Ecuador,2016,2669.438344863986,76.7634
ECU,Ecuador,2017,2751.0840473088565,76.9725
ECU,Ecuador,2018,2818.609435097916,77.0938
ECU,Ecuador,2019,2802.660080718757,77.2971
ECU,Ecuador,2020,2269.4269214070573,72.1535
GRD,Grenada,2000,1506.9903828388615,72.7829
GRD,Grenada,2001,1449.7770287286182,73.1181
GRD,Grenada,2002,1473.035431703269,73.167
GRD,Grenada,2003,1650.3815274559388,73.1875
GRD,Grenada,2004,1713.9114101163436,71.7876
GRD,Grenada,2005,2278.3642913107456,73.5214
GRD,Grenada,2006,2371.3757647372736,73.7004
GRD,Grenada,2007,2666.5980243955773,74.3165
GRD,Grenada,2008,2959.3637217064775,74.6558
GRD,Grenada,2009,2664.318299980149,75.0363
GRD,Grenada,2010,2664.034379206793,74.9988
GRD,Grenada,2011,2673.4330342928847,75.2947
GRD,Grenada,2012,2754.0469232773703,75.0416
GRD,Grenada,2013,2752.0712383981067,75.1161
GRD,Grenada,2014,2866.507988980716,74.985
GRD,Grenada,2015,3059.1156263970875,75.0125
GRD,Grenada,2016,3361.6430715652577,74.7622
GRD,Grenada,2017,3635.3998232227573,74.7652
GRD,Grenada,2018,4052.188355211801,74.8076
GRD,Grenada,2019,4343.721540686774,74.8632
GRD,Grenada,2020,3792.089158275491,74.9238
GTM,Guatemala,2000,575.9402665853075,67.4459
GTM,Guatemala,2001,554.4228751643107,67.9464
GTM,Guatemala,2002,557.5632487229078,68.3865
GTM,Guatemala,2003,584.1481324626466,68.7969
GTM,Guatemala,2004,649.7825322099449,69.1648
GTM,Guatemala,2005,703.8894396264774,69.1675
GTM,Guatemala,2006,759.600127295693,69.8124
GTM,Guatemala,2007,841.6763806115256,70.1002
GTM,Guatemala,2008,931.2485920861028,70.3556
