PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
BRB,Barbados,2004,99.5999984741211,9.1,9.06359986114502,74.7268
BRB,Barbados,2005,99.5999984741211,9.2,9.16319985961914,74.8901
BRB,Barbados,2006,99.5999984741211,9.2,9.16319985961914,75.0683
BRB,Barbados,2007,99.5999984741211,9.2,9.16319985961914,75.3424
BRB,Barbados,2008,99.5999984741211,9.3,9.262799858093263,75.4471
BRB,Barbados,2009,99.5999984741211,9.3,9.262799858093263,75.678
BRB,Barbados,2010,99.5999984741211,9.3,9.262799858093263,75.7115
BRB,Barbados,2011,99.5999984741211,9.4,9.362399856567384,75.9166
BRB,Barbados,2012,99.5999984741211,9.9,9.86039984893799,76.0987
BRB,Barbados,2013,99.5999984741211,10.5,10.457999839782715,76.2752
BRB,Barbados,2014,99.5999984741211,10.5,10.457999839782715,76.4758
BRB,Barbados,2015,99.5999984741211,10.5,10.457999839782715,76.6502
BRB,Barbados,2016,99.5999984741211,10.5,10.457999839782715,76.8149
BRB,Barbados,2017,99.5999984741211,10.6,10.557599838256836,76.936
BRB,Barbados,2018,99.5999984741211,10.6,10.557599838256836,77.067
BRB,Barbados,2019,99.5999984741211,10.6,10.557599838256836,77.2569
BRB,Barbados,2020,99.5999984741211,10.6,10.557599838256836,77.3929
CAN,Canada,2000,99.0,10.9,10.791,79.2335
CAN,Canada,2001,99.0,11.0,10.89,79.4507
CAN,Canada,2002,99.0,11.2,11.088,79.568
CAN,Canada,2003,99.0,11.5,11.385,79.7396
CAN,Canada,2004,99.0,11.7,11.582999999999998,80.0332
CAN,Canada,2005,99.0,12.0,11.879999999999999,80.1364
CAN,Canada,2006,99.0,12.2,12.078,80.5466
CAN,Canada,2007,99.0,12.3,12.177000000000001,80.5495
CAN,Canada,2008,99.0,12.4,12.276,80.7388
CAN,Canada,2009,99.0,12.4,12.276,81.0737
CAN,Canada,2010,99.0,12.5,12.375,81.3469
CAN,Canada,2011,99.0,12.6,12.474,81.5286
CAN,Canada,2012,99.0,12.7,12.572999999999999,81.7221
CAN,Canada,2013,99.0,12.8,12.672,81.8029
CAN,Canada,2014,99.0,12.9,12.771,81.8545
CAN,Canada,2015,99.0,13.1,12.969,81.9246
CAN,Canada,2016,99.0,13.2,13.068,82.0434
CAN,Canada,2017,99.0,13.3,13.167,82.0192
CAN,Canada,2018,99.0,13.3,13.167,82.0508
CAN,Canada,2019,99.0,13.3,13.167,82.3628
CAN,Canada,2020,99.0,13.4,13.266,82.0471
CHL,Chile,2000,95.7166213989258,8.7,8.327346061706544,76.8695
CHL,Chile,2001,95.7166213989258,8.8,8.42306268310547,76.7726
CHL,Chile,2002,95.7166213989258,9.0,8.614495925903322,77.4445
CHL,Chile,2003,96.05092620849611,9.2,8.836685211181642,77.3867
CHL,Chile,2004,96.38523101806643,9.4,9.060211715698244,77.6161
CHL,Chile,2005,96.71953582763675,9.6,9.285075439453127,78.0159
CHL,Chile,2006,97.05384063720706,9.5,9.22011486053467,78.261
CHL,Chile,2007,97.38814544677739,9.5,9.251873817443851,77.8258
CHL,Chile,2008,97.7224502563477,9.9,9.674522575378424,78.4841
CHL,Chile,2009,97.6642303466797,10.3,10.05941572570801,78.7409
CHL,Chile,2010,97.18362045288086,11.1,10.787381870269774,78.5015
CHL,Chile,2011,96.703010559082,9.0,8.70327095031738,79.1099
CHL,Chile,2012,96.48503494262695,9.5,9.16607831954956,79.0233
CHL,Chile,2013,96.2670593261719,9.7,9.337904754638673,79.3391
CHL,Chile,2014,96.57059478759766,9.9,9.560488883972168,79.4726
CHL,Chile,2015,96.8741302490234,10.1,9.784287155151363,79.746
CHL,Chile,2016,96.6382064819336,10.2,9.857097061157226,80.0794
CHL,Chile,2017,96.4022827148438,10.3,9.929435119628913,80.3501
CHL,Chile,2018,96.4022827148438,10.4,10.025837402343758,80.1334
CHL,Chile,2019,96.4022827148438,10.4,10.025837402343758,80.3263
CHL,Chile,2020,96.4022827148438,10.6,10.218641967773443,79.3769
COL,Colombia,2000,92.8037796020508,6.4,5.939441894531251,71.3201
COL,Colombia,2001,92.8037796020508,6.5,6.032245674133302,71.502
COL,Colombia,2002,92.8037796020508,6.5,6.032245674133302,71.9389
COL,Colombia,2003,92.8037796020508,6.5,6.032245674133302,72.3606
COL,Colombia,2004,92.8037796020508,6.5,6.032245674133302,72.6951
COL,Colombia,2005,92.8486633300781,6.6,6.128011779785154,73.0814
COL,Colombia,2006,92.2996826171875,6.8,6.27637841796875,73.468
COL,Colombia,2007,92.6517868041992,6.7,6.207669715881347,73.8372
COL,Colombia,2008,93.3781814575195,7.2,6.723229064941404,74.295
COL,Colombia,2009,93.2446899414063,7.3,6.806862365722661,74.7418
COL,Colombia,2010,93.3723297119141,7.3,6.81618006896973,75.0327
COL,Colombia,2011,93.5805282592773,7.4,6.92495909118652,75.3198
COL,Colombia,2012,93.78243509928383,7.5,7.033682632446288,75.5973
COL,Colombia,2013,93.98434193929037,7.6,7.142809987386068,75.8267
COL,Colombia,2014,94.1862487792969,7.8,7.346527404785158,76.0427
COL,Colombia,2015,94.2450485229492,8.0,7.539603881835936,76.2573
COL,Colombia,2016,94.6538467407227,8.1,7.666961585998538,76.4713
COL,Colombia,2017,94.87317657470706,8.3,7.874473655700687,76.6456
COL,Colombia,2018,95.0925064086914,8.3,7.892678031921387,76.7479
COL,Colombia,2019,95.249267578125,8.3,7.905689208984375,76.7523
COL,Colombia,2020,95.6363296508789,8.5,8.129088020324707,74.7692
CRI,Costa Rica,2000,94.8681869506836,7.9,7.4945867691040045,77.5857
CRI,Costa Rica,2001,95.0989497791637,8.0,7.607915982333096,77.5453
CRI,Costa Rica,2002,95.32971260764381,8.0,7.626377008611505,77.9833
CRI,Costa Rica,2003,95.56047543612392,8.0,7.644838034889914,78.072
CRI,Costa Rica,2004,95.79123826460403,7.9,7.5675078229037185,78.3305
CRI,Costa Rica,2005,96.02200109308414,7.9,7.585738086353648,78.5053
CRI,Costa Rica,2006,96.25276392156425,7.9,7.603968349803576,78.5145
CRI,Costa Rica,2007,96.48352675004436,7.9,7.622198613253505,78.4621
CRI,Costa Rica,2008,96.71428957852447,8.1,7.833857455860482,78.4451
CRI,Costa Rica,2009,96.94505240700458,8.4,8.143384402188385,78.6721
CRI,Costa Rica,2010,97.17581523548469,8.4,8.162768479780715,78.6704
CRI,Costa Rica,2011,97.4065780639648,8.3,8.08474597930908,79.3477
CRI,Costa Rica,2012,97.47189440046034,8.4,8.187639129638669,79.2827
CRI,Costa Rica,2013,97.53721073695588,8.5,8.29066291264125,79.4034
CRI,Costa Rica,2014,97.60252707345143,8.5,8.296214801243371,78.7741
CRI,Costa Rica,2015,97.66784340994697,8.8,8.594770220075333,79.0857
CRI,Costa Rica,2016,97.73315974644251,8.6,8.405051738194055,79.4592
CRI,Costa Rica,2017,97.79847608293805,8.6,8.410668943132672,79.3769
CRI,Costa Rica,2018,97.8637924194336,8.7,8.514149940490721,79.4835
CRI,Costa Rica,2019,97.8637924194336,8.7,8.514149940490721,79.4272
CRI,Costa Rica,2020,97.8637924194336,8.7,8.514149940490721,79.277
CUB,Cuba,2000,99.799072265625,9.6,9.5807109375,76.1831
CUB,Cuba,2001,99.799072265625,9.6,9.5807109375,76.4208
CUB,Cuba,2002,99.799072265625,9.7,9.680510009765625,76.6124
CUB,Cuba,2003,99.79441833496094,9.5,9.480469741821288,76.7729
CUB,Cuba,2004,99.78976440429688,9.8,9.779396911621095,76.9116
CUB,Cuba,2005,99.78511047363283,9.8,9.778940826416019,77.0469
CUB,Cuba,2006,99.78045654296876,9.9,9.878265197753908,77.1788
CUB,Cuba,2007,99.7758026123047,10.1,10.077356063842775,77.3072
CUB,Cuba,2008,99.77114868164064,10.4,10.376199462890627,77.4294
CUB,Cuba,2009,99.76649475097658,10.6,10.575248443603517,77.5483
CUB,Cuba,2010,99.76184082031253,10.8,10.774278808593754,77.661
CUB,Cuba,2011,99.75718688964847,11.0,10.973290557861331,77.7597
CUB,Cuba,2012,99.7525329589844,11.3,11.27203622436524,77.8328
CUB,Cuba,2013,99.7525329589844,10.8,10.773273559570317,77.8698
CUB,Cuba,2014,99.7525329589844,11.0,10.972778625488285,77.8533
CUB,Cuba,2015,99.7525329589844,11.1,11.07253115844727,77.772
CUB,Cuba,2016,99.7525329589844,11.4,11.371788757324223,77.643
CUB,Cuba,2017,99.7525329589844,11.6,11.571293823242192,77.5286
CUB,Cuba,2018,99.7525329589844,11.8,11.770798889160162,77.4962
CUB,Cuba,2019,99.7525329589844,11.8,11.770798889160162,77.6112
CUB,Cuba,2020,99.7525329589844,11.8,11.770798889160162,77.5673
DMA,Dominica,2000,94.0,7.8,7.332,72.6932
DMA,Dominica,2001,94.0,7.8,7.332,71.7132
DMA,Dominica,2002,94.0,7.8,7.332,72.3395
DMA,Dominica,2003,94.0,7.8,7.332,71.4384
DMA,Dominica,2004,94.0,7.8,7.332,72.401
DMA,Dominica,2005,94.0,7.8,7.332,72.2543
DMA,Dominica,2006,94.0,7.8,7.332,72.8479
DMA,Dominica,2007,94.0,7.8,7.332,71.9301
DMA,Dominica,2008,94.0,7.8,7.332,73.3054
DMA,Dominica,2009,94.0,7.8,7.332,72.1702
DMA,Dominica,2010,94.0,7.8,7.332,71.5499
DMA,Dominica,2011,94.0,7.8,7.332,69.6948
DMA,Dominica,2012,94.0,7.8,7.332,70.5383
DMA,Dominica,2013,94.0,7.9,7.426,68.8962
