PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
BRA,Brazil,2005,88870707.0,9.56999969482422,80365781.0,4000.0,1727.1160953083738,186127108.0,71.7533
BRA,Brazil,2006,89980224.0,8.64000034332275,82205932.0,4850.0,2118.851989165198,188167353.0,72.0373
BRA,Brazil,2007,91126146.0,8.32999992370605,83535338.0,6200.0,2724.019793884141,190130445.0,72.3653
BRA,Brazil,2008,92409809.0,7.34000015258789,85626929.0,7620.0,3397.7814351045176,192030362.0,72.7153
BRA,Brazil,2009,94205652.0,8.52000045776367,86179330.0,8330.0,3702.546594978335,193886505.0,72.9484
BRA,Brazil,2010,94040209.0,7.27400016784668,87199724.0,9640.0,4295.078014211141,195713637.0,73.1821
BRA,Brazil,2011,93794015.0,6.92000007629395,87303469.0,11070.0,4893.054440128537,197514541.0,73.3432
BRA,Brazil,2012,94871140.0,7.19000005722046,88049905.0,12300.0,5434.4349839426795,199287292.0,73.5517
BRA,Brazil,2013,96095664.0,6.98000001907349,89388187.0,12770.0,5678.026289224436,201035904.0,73.9185
BRA,Brazil,2014,97184947.0,6.65999984741211,90712430.0,12100.0,5413.29717703378,202763744.0,74.3058
BRA,Brazil,2015,98729764.0,8.43000030517578,90406845.0,10170.0,4496.648427864309,204471759.0,74.3325
BRA,Brazil,2016,99749646.0,11.6000003814697,88178687.0,8910.0,3810.925761451654,206163056.0,74.4415
BRA,Brazil,2017,101501800.0,12.8199996948242,88489270.0,8680.0,3695.677850321044,207833825.0,74.8266
BRA,Brazil,2018,102576163.0,12.3299999237061,89928522.0,9140.0,3923.947865396231,209469320.0,75.1095
BRA,Brazil,2019,104376954.0,11.9300003051758,91924783.0,9220.0,4015.865581100898,211049519.0,75.3379
BRA,Brazil,2020,96539743.0,13.6899995803833,83323453.0,7800.0,3057.6060427416787,212559409.0,74.0089
BRB,Barbados,2000,145844.0,9.35000038146973,132208.0,10780.0,5249.1510104562985,271511.0,74.0891
BRB,Barbados,2001,148868.0,9.85000038146973,134205.0,10630.0,5235.341512106688,272494.0,74.2467
BRB,Barbados,2002,147600.0,10.3199996948242,132368.0,10650.0,5155.817908515377,273423.0,74.3656
BRB,Barbados,2003,150135.0,11.0,133620.0,11300.0,5503.956898782857,274331.0,74.4717
BRB,Barbados,2004,151979.0,9.56999969482422,137435.0,12290.0,6135.780814652558,275283.0,74.7268
