PAIS,NOMBRE PAIS,ANIO,RENTA RECURSOS,INDUSTRIA,PIB,INVERSION SALUD,INVERSION EDUCACION,INVERSION DESARROLLO,GINI,INVERS.,PIB.INV,IND.ESTADO,ESPERANZA
BLZ,Belize,2000,0.275821342068187,18.5363005348873,832072450.0,3.99033976,5.02842998504639,0.368428417227485,53.3,0.09387198162273876,78108289.73518722,10.062084849015577,68.5645
BLZ,Belize,2001,0.274365395518254,17.7705415726164,871590369.32848,4.63241482,5.79692983627319,0.364571826024489,53.364,0.10793916482297677,94078736.533066,10.05004721342497,68.3572
BLZ,Belize,2002,0.285895527192166,16.9749600334907,932292858.88771,4.71499634,5.522569894790649,0.360715234821493,53.428,0.10598281469612142,98807021.30601344,10.038017375265541,68.7521
BLZ,Belize,2003,0.276553566272777,15.0525074918286,990727709.549365,4.62012959,5.24820995330811,0.35685864361849695,53.4921,0.10225198186926607,101303871.79422118,10.025993408573155,68.9091
BLZ,Belize,2004,0.244942757461601,15.2238773330039,1057653620.03465,4.48231363,5.3358998298645,0.353002052415501,53.5563,0.10171215512280002,107576229.0671553,10.013986575742974,69.227
BLZ,Belize,2005,0.287130990961932,15.0272668280515,1111453823.62023,4.49777079,5.445082426071165,0.349145461212505,53.6206,0.1029199867728367,114390812.82561284,10.001990852486529,69.3757
BLZ,Belize,2006,3.24553046300581,17.6830723697798,1211148304.51368,4.56418276,5.55426502227783,0.345288870009509,53.6849,0.10463736652287339,126731369.05295461,9.990034157844422,70.0932
BLZ,Belize,2007,4.21180576935768,18.2365229232347,1283112549.99844,5.32664824,5.663447618484495,0.341432278806513,52.9118,0.11331528137291008,145396259.63618538,10.136034896743643,70.6549
BLZ,Belize,2008,6.19693166955561,19.4841417464841,1352588867.72777,5.68234491,5.77263021469116,0.33757568760351697,52.1393,0.11792550812294678,159504729.50823852,10.286238252076792,71.1507
BLZ,Belize,2009,3.72347931511908,19.0689832973578,1320605471.63149,5.85314894,6.1781702041626,0.333719096400521,51.3624,0.12365038240563121,163293371.5742027,10.44183373364006,71.8186
BLZ,Belize,2010,5.35401046098921,18.9610477309662,1387925188.49004,5.68149519,6.71975994110107,0.32986250519752497,50.5868,0.12731117636298594,176698388.450486,10.60195508437778,72.2716
BLZ,Belize,2011,6.94196992539642,19.9376425758983,1466822039.4102,5.72256994,6.621630032857256,0.326005913994529,49.8128,0.12670205886851785,185849372.38699058,10.76670848779421,72.6512
BLZ,Belize,2012,4.83641560295755,17.7671697976257,1531348953.18392,5.46800852,6.523500124613443,0.32214932279153297,49.0407,0.12313657967404976,188565072.38250443,10.936225790635024,73.245
BLZ,Belize,2013,3.55600149360228,16.9845146669837,1581844936.42351,5.65393209,6.42537021636963,0.318292731588537,48.2659,0.12397595037958167,196110729.3462336,11.111797826135872,73.6661
BLZ,Belize,2014,2.64078179373652,16.0582137619307,1676406801.54095,6.19277191,6.61468982696533,0.31443614038554096,47.4936,0.13121897877350872,219976388.50716758,11.292538558087983,73.3107
BLZ,Belize,2015,1.20952058172765,14.1419936019567,1734320479.1395,5.9350915,6.87015008926392,0.310579549182545,47.4936,0.13115821138446465,227470372.01138455,11.292554337021365,73.1866
BLZ,Belize,2016,1.03981503151429,14.1018277794448,1796928936.71505,6.14959431,7.29365015029907,0.30672295797954896,47.4936,0.1374996741827862,247077143.3279398,11.292595619997,73.3988
BLZ,Belize,2017,0.954178597588331,13.3174405396266,1844906692.53913,5.79241371,7.45028018951416,0.302866366776553,47.4936,0.13545560266290713,249902947.89471856,11.292601569860912,73.5624
BLZ,Belize,2018,0.996808197316465,11.7758327081488,1887465218.48204,5.81922674,7.47227001190186,0.29900977557355696,47.4936,0.13590506527475418,256516083.7216298,11.292615494128238,73.7031
BLZ,Belize,2019,0.790219798442613,12.7671451489632,1945250235.57603,5.96689224,7.1383900642395,0.295153184370561,47.4936,0.1340043548861006,260672002.91040114,11.292624244610806,73.9313
BLZ,Belize,2020,0.829193635001881,14.1716352925624,1585631670.3461,5.181216715,7.52877759933472,0.29129659316756495,47.4936,0.13001290907502283,206152586.1831841,11.29250945142451,72.854
BOL,Bolivia,2000,3.96617066931652,25.7390221812353,8397912525.26886,4.39554119,7.80999994277954,0.287440001964569,61.6,0.12492981134744109,1049149627.4941512,8.707893288738736,62.3461
BOL,Bolivia,2001,3.85984349247998,25.4206764753126,8141537877.06791,4.82522202,7.80999994277954,0.293579995632172,57.4,0.12928801958411712,1052603308.4951873,9.345062229170841,62.8426
BOL,Bolivia,2002,4.34008836903205,25.4735692447779,7905485146.44351,4.89645052,7.80999994277954,0.276630014181137,59.3,0.12983080476960676,1026375498.6569334,9.045597793818255,63.3064
BOL,Bolivia,2003,4.72290454603672,25.5964904919612,8082364816.16879,5.19709635,7.80999994277954,0.25954001290457585,57.15,0.13266636305684115,1072257945.0596879,9.385976157796373,63.6348
BOL,Bolivia,2004,8.08041847515999,26.8396494762825,8773451751.5121,4.86315727,7.80999994277954,0.2424500116280147,55.0,0.12915607224407555,1133144568.248208,9.752993201461482,64.0041
