PAIS,NOMBRE PAIS,ANIO,CONSUMO ALCOHOL,CONSUMO TABACO,HAB.MEAN,SERV SANITARIOS,ACCESO ELECTRICIDAD,ACC.AE,IND.N.VIDA,ESPERANZA
BLZ,Belize,2004,5.10811,13.4,0.09254055000000001,83.73926084,82.6809768676758,0.6923643888428309,7.481740586616686,69.227
BLZ,Belize,2005,5.53958,13.0,0.0926979,84.05505264,83.5047760009766,0.7018998342453497,7.571906529116083,69.3757
BLZ,Belize,2006,5.934953333333333,12.66,0.09297476666666667,84.37042619,90.9885330200195,0.7676741309301933,8.25680083374084,70.0932
BLZ,Belize,2007,6.1518533333333325,12.32,0.09235926666666666,84.68537986,85.1606369018555,0.7211860885153166,7.80848651731012,70.6549
BLZ,Belize,2008,6.458469999999999,11.98,0.09219234999999999,84.99991216,85.9980621337891,0.7309827727302296,7.928887513228914,71.1507
BLZ,Belize,2009,6.741466666666668,11.64,0.09190733333333334,85.31402216,86.8454284667969,0.7409132808711005,8.061525168877715,71.8186
BLZ,Belize,2010,6.79427,11.3,0.09047135,85.62770732,89.9172210693359,0.7699405488752832,8.510324526773207,72.2716
BLZ,Belize,2011,6.621643333333334,10.98,0.08800821666666668,85.94223553,91.6817321777344,0.787933302061723,8.952951575488003,72.6512
BLZ,Belize,2012,6.417466666666667,10.66,0.08538733333333333,86.25785653,90.9959182739258,0.7849112863287896,9.192362095027244,73.245
BLZ,Belize,2013,6.386666666666667,10.34,0.08363333333333334,86.57475779,91.1861038208008,0.7894414852099623,9.439316283897515,73.6661
BLZ,Belize,2014,6.43,10.02,0.08224999999999999,86.89304318,91.3642578125,0.7938918399210216,9.652180424571693,73.3107
BLZ,Belize,2015,6.56,9.7,0.08129999999999998,87.21298382,91.8000030517578,0.8006152180828904,9.847665659076144,73.1866
BLZ,Belize,2016,6.68,9.4,0.08039999999999999,87.53477608,93.2223129272461,0.8160194287746176,10.149495382768878,73.3988
BLZ,Belize,2017,6.646666666666667,9.1,0.07873333333333334,87.85852351,94.1890106201172,0.8275307403951206,10.510551317465545,73.5624
BLZ,Belize,2018,6.433333333333334,8.8,0.07616666666666667,88.18441736,91.7200012207031,0.8088274867906191,10.61917925764489,73.7031
BLZ,Belize,2019,6.18,8.8,0.07490000000000001,88.19850332,92.7200012207031,0.8177765335494586,10.918244773691034,73.9313
BLZ,Belize,2020,5.989999999999999,8.5,0.07244999999999999,88.21427557,97.1133346557617,0.8566782464844994,11.824406438709449,72.854
BOL,Bolivia,2000,3.3066666666666666,32.1,0.17703333333333332,34.85301548,69.9630432128906,0.24384230281267852,1.3773807351497565,62.3461
BOL,Bolivia,2001,3.04593,30.66,0.16852965,35.99628542,69.2585372924805,0.2493050076151842,1.4792946381552694,62.8426
BOL,Bolivia,2002,2.719803333333333,29.22,0.15969901666666664,37.12270953,63.9968566894531,0.2375736721715605,1.4876339073986817,63.3064
BOL,Bolivia,2003,2.2435566666666666,27.78,0.15011778333333334,38.24250317,72.3000030517578,0.27649330958978574,1.8418424749574023,63.6348
BOL,Bolivia,2004,2.2522066666666665,26.34,0.14296103333333332,39.35902795,75.9453048706055,0.2989133377073433,2.090872811547086,64.0041
BOL,Bolivia,2005,2.39147,24.9,0.13645734999999998,40.4716573,68.2882080078125,0.2763736952123303,2.025348544525673,64.3856
BOL,Bolivia,2006,2.5779599999999996,23.82,0.13198980000000002,41.5813814,76.2112808227539,0.3168970334873436,2.4009206278617254,64.7793
BOL,Bolivia,2007,2.8479000000000005,22.74,0.12793949999999998,43.17945511,80.1565704345703,0.3461117034851081,2.7052763492518586,65.0267
BOL,Bolivia,2008,3.105173333333333,21.66,0.12382586666666667,44.80062579,84.6749877929688,0.3793492441885613,3.0635702733238395,65.4459
BOL,Bolivia,2009,3.3425933333333333,20.58,0.11961296666666665,46.44376636,86.7655944824219,0.4029720998228108,3.3689666852407374,65.8803
BOL,Bolivia,2010,3.5102999999999995,19.5,0.1150515,48.10902933,87.8863143920898,0.4228125276794649,3.6749849213566526,66.1624
BOL,Bolivia,2011,3.5065566666666665,18.72,0.11113278333333333,49.7965629,88.3359451293945,0.43988264479668415,3.9581717617680248,66.5337
BOL,Bolivia,2012,3.43556,17.939999999999998,0.10687779999999998,51.50589073,90.3873748779297,0.4655482253834194,4.355892667919993,66.7046
BOL,Bolivia,2013,3.3033333333333332,17.16,0.10231666666666667,53.21966433,89.5056838989258,0.4763462452727917,4.655607544611093,67.0207
BOL,Bolivia,2014,3.25,16.38,0.09815,54.94452469,90.0387268066406,0.4947135048083629,5.040382117252806,67.1632
BOL,Bolivia,2015,3.2066666666666666,15.6,0.09403333333333333,56.69117865,91.522819519043,0.5188536511905774,5.517763039956512,67.3182
BOL,Bolivia,2016,3.1766666666666663,14.799999999999999,0.08988333333333333,58.45982722,91.8000030517578,0.5366612317201234,5.970642296163064,67.6277
BOL,Bolivia,2017,3.146666666666667,14.0,0.08573333333333334,60.24970578,91.8000030517578,0.5530923174471509,6.451310079088074,67.7015
