id_pais,year, srv_sanit_bas
CUB,2018,90.93165485
CUB,2017,90.71869884
CUB,2016,90.5055757
CUB,2015,90.29241266
CUB,2014,90.07813994
CUB,2013,89.8629261
CUB,2012,89.64556697
CUB,2011,89.42263591
CUB,2010,89.19827609
CUB,2009,88.97246831
CUB,2008,88.74522435
CUB,2007,88.51641759
CUB,2006,88.28616571
CUB,2005,88.05445624
CUB,2004,87.82128791
CUB,2003,87.91769561
CUB,2002,88.00572281
CUB,2001,88.08530575
CUB,2000,88.16451336
CRI,2020,97.91499372
CRI,2019,97.75378868
CRI,2018,97.58654255
CRI,2017,97.41272848
CRI,2016,97.23182641
CRI,2015,97.04325062
CRI,2014,96.84647121
CRI,2013,96.64089437
CRI,2012,96.42582936
CRI,2011,96.20066518
CRI,2010,95.96481824
CRI,2009,95.71910936
CRI,2008,95.46355118
CRI,2007,95.26877447
CRI,2006,95.06718416
CRI,2005,94.85854551
CRI,2004,94.64292857
CRI,2003,94.41996299
CRI,2002,94.18986359
CRI,2001,93.9527397
CRI,2000,93.70854617
COL,2020,93.68063058
COL,2019,92.75423558
COL,2018,91.82623874
COL,2017,90.8964834
COL,2016,89.96492076
COL,2015,89.03150088
COL,2014,88.09633314
COL,2013,87.15938051
COL,2012,86.22047517
COL,2011,85.27956604
COL,2010,84.33680151
COL,2009,83.39197703
COL,2008,82.44505834
COL,2007,81.49620788
COL,2006,80.54541227
COL,2005,79.59246238
COL,2004,78.63753542
COL,2003,77.68062347
COL,2002,76.72172586
COL,2001,75.76104919
COL,2000,74.79861635
CHL,2020,99.99999872
CHL,2019,99.99999614
CHL,2018,99.99999739
CHL,2017,100.0000026
CHL,2016,99.66651945
CHL,2015,99.36589045
CHL,2014,98.94398793
CHL,2013,98.48645618
CHL,2012,98.02700137
CHL,2011,97.56563455
CHL,2010,97.10223583
CHL,2009,96.63701571
CHL,2008,96.16973141
CHL,2007,95.7003375
CHL,2006,95.22913665
CHL,2005,94.75579035
