id_pais,year,camas_hospitales
CHL,2014,2.12
CHL,2013,2.17
CHL,2012,2.17
CHL,2011,2.22
CHL,2010,2.04
CHL,2009,2.27
CHL,2008,2.28
CHL,2007,2.29
CHL,2006,2.33
CHL,2005,2.31
CHL,2004,2.41
CHL,2003,2.51
CHL,2002,2.54
CHL,2001,2.62
CHL,2000,2.72
CAN,2020,2.52
CAN,2019,2.52
CAN,2018,2.55
CAN,2017,2.53
CAN,2016,2.6
CAN,2015,2.62
CAN,2014,2.67
CAN,2013,2.72
CAN,2012,2.79
CAN,2011,2.8
CAN,2010,2.78
CAN,2009,2.8
CAN,2008,2.85
CAN,2007,2.96
CAN,2006,3.02
CAN,2005,3.1
CAN,2004,3.44
CAN,2003,3.5
CAN,2002,3.64
CAN,2001,3.69
CAN,2000,3.77
BRA,2020,2.09
BRA,2019,2.09
BRA,2018,2.09
BRA,2017,2.09
BRA,2016,2.11
BRA,2015,2.15
BRA,2014,2.22
BRA,2013,2.25
BRA,2012,2.27
BRA,2011,2.31
BRA,2010,2.37
BRA,2009,2.43
BRA,2008,2.44
BRA,2007,2.47
BRA,2006,2.48
BRA,2005,2.52
BRA,2004,2.4699999999999998
BRA,2003,2.42
BRA,2002,2.59
BRA,2001,2.78
BRA,2000,2.82
BOL,2020,1.29
BOL,2019,1.29
BOL,2018,1.29
BOL,2017,1.29
BOL,2016,1.27
BOL,2015,1.13
BOL,2014,1.15
BOL,2013,1.12
BOL,2012,1.1
BOL,2011,1.07
BOL,2010,1.085
BOL,2009,1.1
BOL,2008,1.1
BOL,2007,1.1
BOL,2006,1.1
BOL,2005,1.05
BOL,2004,1.0
BOL,2003,1.0
BOL,2002,1.0
BOL,2001,1.0
BOL,2000,1.0
BLZ,2020,1.04
BLZ,2019,1.04
BLZ,2018,1.04
BLZ,2017,1.04
BLZ,2016,1.22
BLZ,2015,1.245
BLZ,2014,1.27
BLZ,2013,0.89
BLZ,2012,1.08
BLZ,2011,1.09
BLZ,2010,1.2
BLZ,2009,1.1
BLZ,2008,1.2
BLZ,2007,1.2
BLZ,2006,1.3
BLZ,2005,1.2
BLZ,2004,1.3
BLZ,2003,1.2999999523
BLZ,2002,1.4999999682
BLZ,2001,1.6999999841
BLZ,2000,1.9
BRB,2020,5.97
BRB,2019,5.97
BRB,2018,5.97
BRB,2017,5.97
BRB,2016,5.89
BRB,2015,5.9
BRB,2014,5.93
BRB,2013,6.34
BRB,2012,6.34
BRB,2011,6.55
BRB,2010,6.76
BRB,2009,6.8
BRB,2008,7.6
BRB,2007,7.1
BRB,2006,6.6
BRB,2005,6.7
BRB,2004,7.3
BRB,2003,7.3
BRB,2002,7.3
BRB,2001,7.3
BRB,2000,7.3
ARG,2020,4.99
ARG,2019,4.99
ARG,2018,4.99
ARG,2017,4.99
ARG,2016,4.95
ARG,2015,4.96
ARG,2014,4.84
ARG,2013,4.78
ARG,2012,4.59
ARG,2011,4.39
ARG,2010,4.5
ARG,2009,4.4
ARG,2008,4.3
ARG,2007,4.2
ARG,2006,4.1
ARG,2005,4.0
ARG,2004,4.02
ARG,2003,4.04
ARG,2002,4.06
ARG,2001,4.08
ARG,2000,4.1
ATG,2020,2.89
ATG,2019,2.89
ATG,2018,2.89
ATG,2017,2.89
ATG,2016,3.01
ATG,2015,3.61
ATG,2014,3.55
ATG,2013,3.6
ATG,2012,2.765
ATG,2011,1.93
ATG,2010,2.2
ATG,2009,2.2
ATG,2008,1.7
ATG,2007,2.0
ATG,2006,2.4
ATG,2005,2.4
ATG,2004,2.4
ATG,2003,2.5
ATG,2002,2.3
ATG,2001,2.6
ATG,2000,2.6
