id_pais,year,renta_recursos
HTI,2003,0.51831684764588
HTI,2002,0.396885022321807
HTI,2001,0.383295015031702
HTI,2000,0.349449568502637
GUY,2020,19.1861221406636
GUY,2019,6.17362767353405
GUY,2018,6.59938112987417
GUY,2017,12.5246511105359
GUY,2016,16.0186350564778
GUY,2015,8.56443283739515
GUY,2014,10.7965827876432
GUY,2013,13.6687176344706
GUY,2012,16.5263577632844
GUY,2011,16.3205803071736
GUY,2010,14.5922039755807
GUY,2009,10.7158376268642
GUY,2008,10.3635572933336
GUY,2007,10.8075151626297
GUY,2006,9.70635226740931
GUY,2005,20.8261029091498
GUY,2004,21.1992807948421
GUY,2003,16.9482275120454
GUY,2002,12.7851274641531
GUY,2001,12.9135305068596
GUY,2000,15.5078378970403
GTM,2020,1.33736802752441
GTM,2019,1.15657591805114
GTM,2018,1.20939204308682
GTM,2017,1.51488173596791
GTM,2016,2.02245073214132
GTM,2015,1.78811232243738
GTM,2014,2.97049384944498
GTM,2013,2.08364679777479
GTM,2012,2.17025587200334
GTM,2011,2.84336223643236
GTM,2010,2.64884359557953
GTM,2009,1.63592280003573
GTM,2008,2.01044110116012
GTM,2007,1.98346545616182
GTM,2006,2.17437512563474
GTM,2005,1.52907517719573
GTM,2004,1.49290085735172
GTM,2003,1.50767273253624
GTM,2002,1.2922727158346
GTM,2001,1.50451920261227
GTM,2000,1.64768800373464
GRD,2020,0.0
GRD,2019,0.0
GRD,2018,0.0
GRD,2017,0.0
GRD,2016,0.0
GRD,2015,0.0
GRD,2014,0.0
GRD,2013,0.0
GRD,2012,0.0
GRD,2011,0.0
GRD,2010,0.0
GRD,2009,0.0
GRD,2008,0.0
GRD,2007,0.0
GRD,2006,0.0
GRD,2005,0.0
GRD,2004,0.0
GRD,2003,0.0
GRD,2002,0.0
GRD,2001,0.0
GRD,2000,0.0
SLV,2020,0.755814178865303
SLV,2019,0.559981380657096
SLV,2018,0.661344992571905
SLV,2017,0.888053479390177
SLV,2016,1.0221138126124
SLV,2015,0.850742982932215
SLV,2014,1.05479036830975
SLV,2013,0.877346668551486
SLV,2012,0.769149556408969
SLV,2011,0.818951338450451
SLV,2010,1.02874215933074
