Year,Country,Alcohol_pc
2006,MEX,5.013473333333334
2007,MEX,5.07524
2008,MEX,4.822376666666667
2009,MEX,4.568763333333334
2010,MEX,4.2937
2011,MEX,4.22925
2012,MEX,4.1402600000000005
2013,MEX,3.97
2014,MEX,3.89
2015,MEX,3.8699999999999997
2016,MEX,3.9966666666666666
2017,MEX,4.1433333333333335
2018,MEX,4.246666666666667
2019,MEX,4.25
2020,MEX,4.25
2000,NIC,2.6733333333333333
2001,NIC,3.0589266666666663
2002,NIC,3.289483333333333
2003,NIC,3.5070333333333337
2004,NIC,3.55582
2005,NIC,3.6468966666666667
2006,NIC,3.7083666666666666
2007,NIC,3.6810533333333333
2008,NIC,3.684486666666667
2009,NIC,3.6644000000000005
2010,NIC,3.5582166666666666
2011,NIC,3.41315
2012,NIC,3.330883333333333
2013,NIC,3.4233333333333333
2014,NIC,3.4966666666666666
2015,NIC,3.563333333333334
2016,NIC,3.6033333333333335
2017,NIC,3.686666666666667
2018,NIC,3.796666666666667
2019,NIC,3.813333333333333
2020,NIC,3.776666666666667
2000,PAN,6.136666666666667
2001,PAN,5.862106666666667
2002,PAN,5.401689999999999
2003,PAN,4.971706666666666
2004,PAN,4.91962
2005,PAN,4.94451
2006,PAN,4.9296766666666665
2007,PAN,4.979593333333334
2008,PAN,5.141089999999999
2009,PAN,5.509226666666667
2010,PAN,5.86443
2011,PAN,6.07846
2012,PAN,6.131806666666666
2013,PAN,6.156666666666666
2014,PAN,6.193333333333334
2015,PAN,6.239999999999999
2016,PAN,6.45
2017,PAN,6.583333333333333
2018,PAN,6.746666666666667
2019,PAN,6.653333333333333
2020,PAN,6.63
2000,PER,4.330000000000001
2001,PER,4.37603
2002,PER,4.30071
2003,PER,4.260079999999999
2004,PER,4.202756666666667
2005,PER,4.350596666666667
2006,PER,4.591083333333334
2007,PER,4.554373333333333
2008,PER,4.546436666666667
2009,PER,4.647413333333334
2010,PER,4.8339566666666665
2011,PER,5.072706666666666
2012,PER,5.161873333333333
2013,PER,5.266666666666667
2014,PER,5.28
2015,PER,5.376666666666666
2016,PER,5.486666666666667
2017,PER,5.609999999999999
2018,PER,5.703333333333333
2019,PER,5.723333333333334
2020,PER,5.756666666666667
2000,PRY,9.463333333333333
2001,PRY,7.846713333333333
2002,PRY,6.47272
2003,PRY,5.31156
2004,PRY,4.928570000000001
2005,PRY,4.82367
2006,PRY,5.0566666666666675
2007,PRY,5.534590000000001
2008,PRY,5.81985
2009,PRY,6.280596666666667
2010,PRY,6.325866666666666
2011,PRY,6.406166666666667
2012,PRY,6.156916666666667
2013,PRY,6.07
2014,PRY,5.853333333333334
2015,PRY,5.603333333333333
2016,PRY,5.406666666666666
2017,PRY,5.3133333333333335
2018,PRY,5.346666666666667
2019,PRY,5.456666666666667
2020,PRY,5.5
2000,SLV,2.9333333333333336
2001,SLV,2.8736533333333334
2002,SLV,2.8651400000000002
2003,SLV,2.75517
2004,SLV,2.8425466666666668
2005,SLV,2.8489633333333337
2006,SLV,2.79176
2007,SLV,2.710976666666667
2008,SLV,2.6936166666666668
2009,SLV,2.66532
2010,SLV,2.6005266666666667
2011,SLV,2.45665
2012,SLV,2.36212
2013,SLV,2.34
2014,SLV,2.356666666666667
2015,SLV,2.4033333333333338
2016,SLV,2.4466666666666668
2017,SLV,2.5433333333333334
2018,SLV,2.6633333333333336
2019,SLV,2.7933333333333334
2020,SLV,2.893333333333333
2000,SUR,6.823333333333333
2001,SUR,5.905683333333333
2002,SUR,5.000943333333333
2003,SUR,4.480863333333333
2004,SUR,4.56287
2005,SUR,4.646566666666667
2006,SUR,4.625103333333333
2007,SUR,4.579833333333333
2008,SUR,4.590050000000001
2009,SUR,4.69081
2010,SUR,4.811063333333333
2011,SUR,5.005223333333333
2012,SUR,5.296006666666667
2013,SUR,5.583333333333333
2014,SUR,5.773333333333333
2015,SUR,5.673333333333333
2016,SUR,5.326666666666667
2017,SUR,5.276666666666667
2018,SUR,5.433333333333334
2019,SUR,5.84
2020,SUR,6.1433333333333335
2000,TTO,3.57
2001,TTO,4.070546666666666
2002,TTO,4.43898
2003,TTO,4.91885
2004,TTO,5.127479999999999
2005,TTO,5.40212
2006,TTO,5.568936666666667
2007,TTO,5.7723233333333335
2008,TTO,5.94414
2009,TTO,6.022636666666667
