id_pais,year,produccion_alimentos
CRI,2019,101.9
CRI,2018,105.69
CRI,2017,104.95
CRI,2016,101.76
CRI,2015,98.93
CRI,2014,99.3
CRI,2013,95.88
CRI,2012,93.31
CRI,2011,90.55
CRI,2010,87.44
CRI,2009,83.66
CRI,2008,80.94
CRI,2007,82.01
CRI,2006,84.0
CRI,2005,74.31
CRI,2004,69.91
CRI,2003,68.61
CRI,2002,65.33
CRI,2001,67.69
CRI,2000,67.04
COL,2020,103.02
COL,2019,104.71
COL,2018,101.98
COL,2017,96.74
COL,2016,102.66
COL,2015,100.47
COL,2014,96.87
COL,2013,96.05
COL,2012,92.75
COL,2011,85.19
COL,2010,82.78
COL,2009,85.33
COL,2008,89.45
COL,2007,85.97
COL,2006,83.46
COL,2005,80.04
COL,2004,78.67
COL,2003,76.47
COL,2002,73.96
COL,2001,72.24
COL,2000,71.72
CHL,2020,107.97
CHL,2019,106.81
CHL,2018,108.33
CHL,2017,99.21
CHL,2016,100.9
CHL,2015,101.43
CHL,2014,97.68
CHL,2013,101.27
CHL,2012,100.69
CHL,2011,98.06
CHL,2010,93.36
CHL,2009,90.35
CHL,2008,90.72
CHL,2007,88.02
CHL,2006,91.33
CHL,2005,86.46
CHL,2004,82.2
CHL,2003,79.35
CHL,2002,77.19
CHL,2001,76.82
CHL,2000,71.63
CAN,2020,113.66
CAN,2019,110.85
CAN,2018,109.41
CAN,2017,108.21
CAN,2016,106.82
CAN,2015,98.53
CAN,2014,94.65
CAN,2013,101.0
CAN,2012,87.42
CAN,2011,85.27
CAN,2010,86.14
CAN,2009,87.14
CAN,2008,89.32
CAN,2007,80.31
CAN,2006,81.26
CAN,2005,84.04
CAN,2004,82.34
CAN,2003,75.45
CAN,2002,66.58
CAN,2001,70.34
CAN,2000,77.91
BRA,2020,111.85
BRA,2019,109.26
BRA,2018,107.09
BRA,2017,107.17
BRA,2016,99.03
BRA,2015,101.82
BRA,2014,99.15
BRA,2013,97.64
BRA,2012,91.21
BRA,2011,92.42
BRA,2010,88.86
BRA,2009,84.09
BRA,2008,84.8
BRA,2007,79.96
BRA,2006,74.75
BRA,2005,71.21
BRA,2004,70.43
BRA,2003,67.98
BRA,2002,62.79
BRA,2001,59.36
BRA,2000,56.55
BOL,2020,109.63
BOL,2019,110.15
BOL,2018,109.85
BOL,2017,102.0
BOL,2016,102.54
BOL,2015,103.54
BOL,2014,93.92
BOL,2013,90.81
BOL,2012,87.42
BOL,2011,79.99
BOL,2010,78.59
BOL,2009,79.2
BOL,2008,75.2
BOL,2007,74.04
BOL,2006,69.66
BOL,2005,65.02
BOL,2004,60.84
BOL,2003,61.16
BOL,2002,58.42
BOL,2001,55.24
BOL,2000,54.39
BLZ,2020,94.93
BLZ,2019,97.37
BLZ,2018,99.25
BLZ,2017,104.43
BLZ,2016,96.28
BLZ,2015,101.77
BLZ,2014,101.96
BLZ,2013,99.3
BLZ,2012,105.95
BLZ,2011,88.56
BLZ,2010,96.32
BLZ,2009,96.14
BLZ,2008,95.84
BLZ,2007,98.67
BLZ,2006,99.48
BLZ,2005,102.35
BLZ,2004,100.2
BLZ,2003,89.37
BLZ,2002,87.11
BLZ,2001,95.54
BLZ,2000,94.05
BRB,2020,101.28
BRB,2019,104.9
BRB,2018,108.02
BRB,2017,102.56
BRB,2016,98.24
BRB,2015,102.65
BRB,2014,99.11
BRB,2013,98.01
BRB,2012,107.13
BRB,2011,108.93
BRB,2010,106.98
BRB,2009,115.89
BRB,2008,110.38
BRB,2007,118.74
BRB,2006,113.02
BRB,2005,123.25
BRB,2004,112.28
BRB,2003,112.28
BRB,2002,108.24
BRB,2001,111.64
BRB,2000,120.19
ARG,2020,109.82
ARG,2019,112.94
ARG,2018,97.41
ARG,2017,106.07
ARG,2016,100.94
ARG,2015,103.96
ARG,2014,95.09
ARG,2013,94.02
ARG,2012,86.51
ARG,2011,92.84
ARG,2010,88.24
ARG,2009,76.21
ARG,2008,91.27
ARG,2007,90.0
ARG,2006,82.17
ARG,2005,83.23
ARG,2004,73.2
ARG,2003,71.64
ARG,2002,69.01
ARG,2001,69.38
ARG,2000,69.17
ATG,2020,88.3
ATG,2019,93.48
ATG,2018,93.59
ATG,2017,98.78
ATG,2016,99.02
ATG,2015,100.33
ATG,2014,100.65
ATG,2013,101.42
ATG,2012,99.66
ATG,2011,104.97
ATG,2010,102.46
ATG,2009,141.34
ATG,2008,145.95
ATG,2007,143.07
ATG,2006,140.63
ATG,2005,135.93
ATG,2004,152.96
ATG,2003,150.31
ATG,2002,144.36
ATG,2001,143.73
ATG,2000,140.69
